BBL ,Boro,Block,Lot,Last Block Digit,E,BC,TC,Building Count,DOF Gross Square Footage ,Street Number ,Street Name ,Borough ,Zip Code,NYCHA ,"Multiple Buildings less than 100,000 with one of the buildings on the tax lot greater than 25,000 GSF",Full Address
4011850001,4,1185,1,5, ,G8,4,1,"72,460",62-10,NORTHERN BLVD.,Queens ,11377,,,62-10 NORTHERN BLVD.
4011880055,4,1188,55,8, ,D4,2,1,"131,413",60-11,BROADWAY,Queens ,11377,,,60-11 BROADWAY
4011920048,4,1192,48,2, ,W1,4,1,"308,396",53-16,NORTHERN BOULEVARD,Queens ,11377,,,53-16 NORTHERN BOULEVARD
4011990020,4,1199,20,9, ,D4,2,1,"81,128",34-43,60TH ST.,Queens ,11377,,,34-43 60TH ST.
4012040001,4,1204,1,4, ,C1,2,4,"129,900",35-33,64TH ST.,Queens ,11377,,,35-33 64TH ST.
4012110001,4,1211,1,1, ,E1,4,1,"52,291",56-08,37TH AVE.,Queens ,11377,,,56-08 37TH AVE.
4012160017,4,1216,17,6, ,D1,2,1,"55,500",37-47,61ST ST.,Queens ,11377,,,37-47 61ST ST.
4012167502,4,1216,7502,6, ,R0,2,1,"66,575",61-05,39TH AVE.,Queens ,11377,,,61-05 39TH AVE.
4012190032,4,1219,32,9, ,C1,2,6,"169,000",37-25,64TH ST.,Queens ,11377,,,37-25 64TH ST.
4012220009,4,1222,9,2, ,D4,2,1,"130,000",65-15,38TH AVE.,Queens ,11377,,,65-15 38TH AVE.
4012260001,4,1226,1,6, ,D4,2,1,"145,379",55-05,WOODSIDE AVE.,Queens ,11377,,,55-05 WOODSIDE AVE.
4012290055,4,1229,55,9, ,D1,2,1,"52,290",39-30,59TH ST.,Queens ,11377,,,39-30 59TH ST.
4012300045,4,1230,45,0, ,D1,2,1,"86,988",39-50,60TH ST.,Queens ,11377,,,39-50 60TH ST.
4012350070,4,1235,70,5, ,C6,2,1,"92,130",52-05,39TH RD.,Queens ,11377,,,52-05 39TH RD.
4012380006,4,1238,6,8, ,D4,2,2,"207,086",39-65,52ND ST.,Queens ,11377,,,39-65 52ND ST.
4012380025,4,1238,25,8, ,D4,2,3,"441,929",52-30,39TH DR.,Queens ,11377,,,52-30 39TH DR.
4012380040,4,1238,40,8, ,D4,2,1,"208,252",39-60,54TH ST.,Queens ,11377,,,39-60 54TH ST.
4012450030,4,1245,30,5, ,D4,2,1,"106,308",72-17,34TH AVE.,Queens ,11372,,,72-17 34TH AVE.
4012490018,4,1249,18,9, ,D3,2,4,"187,200",33-24,77TH ST.,Queens ,11372,,,33-24 77TH ST.
4012490033,4,1249,33,9, ,D3,2,1,"100,890",76-09,34TH AVE.,Queens ,11372,,,76-09 34TH AVE.
4012510030,4,1251,30,1, ,D1,2,1,"90,950",78-01,34TH AVE.,Queens ,11372,,,78-01 34TH AVE.
4012530011,4,1253,11,3, ,D4,2,8,"193,193",33-16,81ST ST.,Queens ,11372,,,33-16 81ST ST.
4012540012,4,1254,12,4, ,D4,2,5,"186,300",33-15,81ST ST.,Queens ,11372,,,33-15 81ST ST.
4012560035,4,1256,35,6, ,D4,2,1,"59,756",69-05,35 AVENUE,Queens ,11377,,,69-05 35 AVENUE
4012570032,4,1257,32,7, ,I6,4,1,"150,000",70-05,35TH AVE.,Queens ,11372,,,70-05 35TH AVE.
4012600016,4,1260,16,0, ,D1,2,1,"66,138",34-20,74TH ST.,Queens ,11372,,,34-20 74TH ST.
4012600035,4,1260,35,0, ,D1,2,1,"52,122",34-56,74 STREET,Queens ,11372,,,34-56 74 STREET
4012600041,4,1260,41,0, ,D1,2,1,"52,158",34-57,73RD ST.,Queens ,11372,,,34-57 73RD ST.
4012610001,4,1261,1,1, ,D4,2,2,"135,070",74-02,34 AVENUE,Queens ,11372,,,74-02 34 AVENUE
4012610035,4,1261,35,1, ,D1,2,1,"97,170",74-15,35TH AVE.,Queens ,11372,,,74-15 35TH AVE.
4012620034,4,1262,34,2, ,D1,2,1,"75,648",75-05,35TH AVE.,Queens ,11372,,,75-05 35TH AVE.
4012630001,4,1263,1,3, ,D4,2,1,"96,000",76-10,34TH AVE.,Queens ,11372,,,76-10 34TH AVE.
4012630015,4,1263,15,3, ,D1,2,1,"104,000",34-34,77TH ST.,Queens ,11372,,,34-34 77TH ST.
4012630044,4,1263,44,3, ,D1,2,1,"124,600",34-35,35 AVENUE,Queens ,11106,,,34-35 35 AVENUE
4012637501,4,1263,7501,3, ,R0,2,1,"128,050",76-15,35TH AVE.,Queens ,11372,,,76-15 35TH AVE.
